SPEED,LAT,LONG
32.11,22.577248,75.598396
38.06,22.577326,75.598343
32.97,22.577444,75.598244
17.95,22.577471,75.598206
17.95,22.577484,75.598175
18.32,22.577473,75.598137
18.82,22.577419,75.598076
13.93,22.577379,75.598061
13.93,22.577339,75.598061
24.22,22.577286,75.598068
28.67,22.577148,75.598122
34.34,22.577072,75.598160
34.34,22.576992,75.598206
36.60,22.576908,75.598251
34.19,22.576824,75.598297
28.54,22.576687,75.598366
28.54,22.576624,75.598404
31.69,22.576555,75.598442
34.61,22.576481,75.598488
29.21,22.576330,75.598572
29.21,22.576262,75.598610
21.85,22.576204,75.598625
24.30,22.576149,75.598648
15.67,22.576054,75.598717
15.67,22.576033,75.598755
23.96,22.576010,75.598808
27.47,22.575932,75.598915
14.96,22.575899,75.598953
14.96,22.575872,75.598969
11.82,22.575848,75.598984
26.52,22.575769,75.599060
29.98,22.575724,75.599121
29.98,22.575672,75.599182
26.61,22.575626,75.599243
19.74,22.575548,75.599342
15.98,22.575520,75.599380
10.98,22.575499,75.599411
5.35,22.575489,75.599426
0.09,22.575487,75.599426
0.02,22.575489,75.599426
0.02,22.575489,75.599426
0.00,22.575491,75.599426
0.00,22.575497,75.599419
0.02,22.575497,75.599419
0.02,22.575493,75.599419
0.59,22.575483,75.599419
7.28,22.575460,75.599434
11.22,22.575451,75.599457
11.22,22.575438,75.599487
22.61,22.575405,75.599525
22.61,22.575317,75.599648
34.15,22.575266,75.599716
34.15,22.575207,75.599792
30.35,22.575146,75.599861
23.13,22.575054,75.599945
19.21,22.575010,75.599968
19.21,22.574963,75.599998
19.11,22.574919,75.600029
19.83,22.574833,75.600075
17.39,22.574791,75.600090
17.39,22.574747,75.600113
24.63,22.574696,75.600143
34.35,22.574553,75.600204
37.47,22.574469,75.600243
37.47,22.574379,75.600281
41.86,22.574284,75.600327
28.61,22.574129,75.600433
29.95,22.574080,75.600502
29.95,22.574032,75.600563
31.60,22.573975,75.600624
36.82,22.573809,75.600708
36.89,22.573719,75.600746
36.89,22.573645,75.600784
20.89,22.573589,75.600815
